Iteration:	0	1	2	3	4	5	6	
TP AGI:	342	342	357	342	357	342	342	
TP Accuracy:	432	482	472	462	472	472	509	
TP Accuracy1:	1325	1375	1377	1355	1377	1365	1402	
TP Accuracy2:	1288	1375	1360	1331	1358	1353	1365	
TP Attack:	407	452	437	422	437	407	407	
TP Attack1:	1506	1551	1536	1525	1536	1506	1506	
TP Attack2:	1321	1407	1373	1352	1371	1348	1321	
TP DA:	23	19	19	19	19	19	19	
TP DEX:	289	289	304	289	304	289	289	
TP DMG2:	90	154	157	127	151	153	98	
TP DT:	-9	-9	-9	-9	-9	-9	-14	
TP Delay2:	180	222	227	227	227	222	190	
TP Evasion:	1049	1049	1056	1071	1076	1049	1076	
TP INT:	227	227	242	227	227	227	227	
TP Magic Accuracy:	196	246	236	196	236	236	196	
TP Magic Attack:	31	31	47	31	51	31	31	
TP Magic Damage:	186	403	403	186	403	387	186	
TP Ranged Accuracy:	1175	1225	1226	1190	1226	1215	1175	
TP Ranged Attack:	1320	1320	1320	1334	1320	1320	1320	
TP STR:	288	288	288	292	288	288	288	
TP Store TP:	22	17	17	23	22	17	17	
TP Subtle Blow:	62	54	54	54	54	54	54	
TP Weapon Skill Damage:	15	15	15	15	20	15	15	
TP sub Katana Skill:	228	269	250	242	248	255	228	
TP sub Magic Accuracy Skill:	215	255	250	188	248	242	215	
TP Gear sub:	Achiuchikapu	Fudo Masamune	Gokotai	Kanaria	Kunimitsu	Mochizuki Shinobi-Gatana	Shigi	
WS AGI:	285	285	300	285	300	285	285	
WS Accuracy:	376	426	416	406	416	416	453	
WS Accuracy1:	1214	1264	1265	1244	1265	1254	1291	
WS Accuracy2:	1214	1301	1285	1257	1283	1278	1291	
WS Attack:	387	432	417	402	417	387	387	
WS Attack1:	1405	1450	1435	1424	1435	1405	1405	
WS Attack2:	1268	1354	1320	1299	1318	1295	1268	
WS DA:	20	16	16	16	16	16	16	
WS DEX:	295	295	310	295	310	295	295	
WS DMG2:	90	154	157	127	151	153	98	
WS Delay2:	180	222	227	227	227	222	190	
WS Evasion:	968	968	976	990	996	968	995	
WS INT:	223	223	238	223	223	223	223	
WS Magic Accuracy:	193	243	233	193	233	233	193	
WS Magic Attack:	31	31	47	31	51	31	31	
WS Magic Damage:	0	217	217	0	217	201	0	
WS Ranged Accuracy:	1108	1158	1160	1123	1160	1148	1108	
WS Ranged Attack:	1280	1280	1280	1294	1280	1280	1280	
WS STR:	274	274	274	278	274	274	274	
WS Store TP:	13	8	8	14	13	8	8	
WS Subtle Blow:	64	56	56	56	56	56	56	
WS Weapon Skill Damage:	62	62	62	62	67	62	62	
WS sub Katana Skill:	228	269	250	242	248	255	228	
WS sub Magic Accuracy Skill:	215	255	250	188	248	242	215	
WS Gear sub:	Achiuchikapu	Fudo Masamune	Gokotai	Kanaria	Kunimitsu	Mochizuki Shinobi-Gatana	Shigi	
Time/Attack (s):	  1.300	  1.440	  1.457	  1.457	  1.457	  1.440	  1.333	
Average Dmg/Attack:	   645.2	   794.6	   801.4	   732.9	   780.5	   779.2	   657.1	
Physical:	   645.2	   794.6	   801.4	   732.9	   780.5	   779.2	   657.1	
Average Dmg/WS:	  5698.8	  5958.4	  6207.9	  5816.0	  6475.6	  5837.0	  6040.9	
Average TP/WS:	1097	1090	1091	1099	1095	1089	1089	
TP Damage (M):	  2.8	  3.2	  3.2	  2.9	  3.1	  3.2	  2.9	
TP DPS:	  392.9	  448.5	  447.2	  406.3	  431.8	  441.0	  395.7	
TP %:	 39.8	 44.6	 43.5	 42.1	 40.7	 45.0	 39.9	
WS Damage (M):	  4.3	  4.0	  4.2	  4.0	  4.5	  3.9	  4.3	
WS DPS:	  593.9	  558.0	  580.9	  559.4	  628.6	  540.0	  595.3	
WS %:	 60.2	 55.4	 56.5	 57.9	 59.3	 55.0	 60.1	
Total DPS:	  986.8	 1006.5	 1028.1	  965.7	 1060.4	  981.0	  990.9	
Total Damage (M):	  7.1	  7.3	  7.4	  7.0	  7.6	  7.1	  7.1	
